"website","product_name","product_url","review_header","review_text","review_rating"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","Pratique et efficace","Produit reçu vendredi, je l'ai utilisé Samedi pour un nettoyage complet de mon vélo et donc de la chaine. Utilisé avec le nettoyant dégraissant pour Chaîne PARK TOOL CITRUS CHAINBRITE CB-4=très bonne efficacité.
Attention tout de même à ne pas tourner la chaîne trop vite ou gare a quelques projections de graisse.Se rince à l'eau facilement.","4"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","Génial","Vraiment efficace. gain de temps . nettoyage facile donc plus souvent","5"
"probikeshop.fr","Protection Adhésive pour Cadre BBB CARBONSKIN","https://www.probikeshop.fr/protection-adhesive-pour-cadre-bbb-carbonskin-carbone/83766.html","Mau produto","Comprei o produto a menos de 3 meses e não gostei .","1"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","Propreté.","Simple d'utilisation: insérer du dégraissant liquide, y caler la chaîne, refermer la partie supérieure et tourner la chaîne. Elle en ressortira nickel.","5"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","Ottimo","Prodotto valido che rispetta in pieno le aspettative. Semplice da usare, non perde durante il lavaggio della catena e i componenti sono di qualità.","5"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","Rapide et efficace","Je l'ai utilisé sur une chaîne qui n'avait pas été nettoyée depuis longtemps et le résultat est impeccable.
L'appareil à l'air de bonne qualité.","5"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","conforme à mes attentes","J ai retrouvé une chaine neuve comme au premier jour en utilisant du gazole. Je conseille de protéger le vélo d une feuille de papier journal pour éviter les éclaboussures. Nettoyer la chaine avec ce produit est moins fastidieux qu avec un pinceau","4"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","Ottimo prodotto","Pensavo non fosse chissà cosa, ma ho dovuto ricredermi. La catena, dopo 4 mesi a non pulirla è tornata come nuova!!! Lo consiglio vivamente.","5"
"probikeshop.fr","Nettoyeur de Chaîne BBB BRIGHT & FRESH BTL-21","https://www.probikeshop.fr/bbb-nettoyeur-de-chaine-bright-fresh-btl-2aa-transparent/93892.html","FUNZIONA !!!!!!!!","Avevo qualche dubbio a riguardo del funzionamento ma ho dovuto ricredermi, in un attimo la catena è splendente.","5"
"probikeshop.fr","Éclairage Avant et Arrière BBB SCOUTCOMBO","https://www.probikeshop.fr/eclairage-avant-et-arriere-bbb-scoutcombo/132498.html","Très bon produit","Légère et compact, elle ne se sent pas du tout sur le casque. Finition soignée, elle semble très solide (je n'ai pas encore chuté avec) avec son corps en acier. fixation sur le casque hyper simple et stable avec une grande bande velcro et une mousse antidérapante sous la platine. Un seul regret, le trop grand nombre de combinaisons d’éclairage (avant / arrière / clignotement / intensité)  pour un seul bouton = on passe beaucoup de temps à appuyer pour trouver le bon réglage. Il manquerait un réglage de focal (comme sur une certaine lampes frontale) pour avoir un faisceau plus large ou plus loin selon le terrain.","5"
